Depth [mm],Dose [Gy],PDD [%]
51.23809524,0.01456219187,0.9788138665
51.33333333,0.01460088737,0.9814148272
51.42857143,0.01463958287,0.984015788
51.52380952,0.01467827836,0.9866167487
51.61904762,0.01471697386,0.9892177095
51.71428571,0.01475566936,0.9918186702
51.80952381,0.01479436486,0.9944196309
51.9047619,0.01483306035,0.9970205917
52,0.01487175585,0.9996215524
52.0952381,0.01491045135,1.002222513
52.19047619,0.01494914684,1.004823474
52.28571429,0.01498784234,1.007424435
52.38095238,0.01502653784,1.010025395
52.47619048,0.01506523334,1.012626356
52.57142857,0.01510392883,1.015227317
52.66666667,0.01514262433,1.017828278
52.76190476,0.01508565108,1.013998758
52.85714286,0.01501901932,1.00952003
52.95238095,0.01495238756,1.005041302
53.04761905,0.01488575581,1.000562575
53.14285714,0.01481912405,0.9960838474
53.23809524,0.01475249229,0.9916051199
53.33333333,0.01468586053,0.9871263924
53.42857143,0.01461922877,0.9826476649
53.52380952,0.01455259701,0.9781689373
53.61904762,0.01448596525,0.9736902098
53.71428571,0.01441933349,0.9692114823
53.80952381,0.01435270173,0.9647327548
53.9047619,0.01428606998,0.9602540272
54,0.01421943822,0.9557752997
54.0952381,0.01415280646,0.9512965722
54.19047619,0.0140861747,0.9468178447
54.28571429,0.01401954294,0.9423391171
54.38095238,0.01395291118,0.9378603896
54.47619048,0.01388627942,0.9333816621
54.57142857,0.01381964766,0.9289029345
54.66666667,0.0137530159,0.924424207
54.76190476,0.01377399477,0.9258343249
54.85714286,0.01380381862,0.9278389678
54.95238095,0.01383364247,0.9298436107
55.04761905,0.01386346631,0.9318482536
55.14285714,0.01389329016,0.9338528965
55.23809524,0.01392311401,0.9358575394
55.33333333,0.01395293785,0.9378621824
55.42857143,0.0139827617,0.9398668253
55.52380952,0.01401258555,0.9418714682
55.61904762,0.01404240939,0.9438761111
55.71428571,0.01407223324,0.945880754
55.80952381,0.01410205709,0.9478853969
55.9047619,0.01413188093,0.9498900399
56,0.01416170478,0.9518946828
56.0952381,0.01419152863,0.9538993257
56.19047619,0.01422135247,0.9559039686
56.28571429,0.01425117632,0.9579086115
56.38095238,0.01428100017,0.9599132544
56.47619048,0.01431082401,0.9619178973
56.57142857,0.01434064786,0.9639225403
56.66666667,0.01437047171,0.9659271832
56.76190476,0.0143188571,0.9624578504
56.85714286,0.01425902065,0.958435877
56.95238095,0.0141991842,0.9544139036
57.04761905,0.01413934775,0.9503919301
57.14285714,0.0140795113,0.9463699567
57.23809524,0.01401967484,0.9423479832
57.33333333,0.01395983839,0.9383260098
57.42857143,0.01390000194,0.9343040363
57.52380952,0.01384016549,0.9302820629
57.61904762,0.01378032904,0.9262600895
57.71428571,0.01372049258,0.922238116
57.80952381,0.01366065613,0.9182161426
57.9047619,0.01360081968,0.9141941691
58,0.01354098323,0.9101721957
58.0952381,0.01348114678,0.9061502222
58.19047619,0.01342131032,0.9021282488
58.28571429,0.01336147387,0.8981062754
58.38095238,0.01330163742,0.8940843019
58.47619048,0.01324180097,0.8900623285
58.57142857,0.01318196452,0.886040355
58.66666667,0.01312212806,0.8820183816
58.76190476,0.01313961528,0.883193804
58.85714286,0.01316490892,0.8848939441
58.95238095,0.01319020256,0.8865940843
59.04761905,0.0132154962,0.8882942245
59.14285714,0.01324078984,0.8899943647
59.23809524,0.01326608349,0.8916945049
59.33333333,0.01329137713,0.8933946451
59.42857143,0.01331667077,0.8950947853
59.52380952,0.01334196441,0.8967949255
59.61904762,0.01336725806,0.8984950657
59.71428571,0.0133925517,0.9001952059
59.80952381,0.01341784534,0.9018953461
59.9047619,0.01344313898,0.9035954863
60,0.01346843262,0.9052956265
60.0952381,0.01349372627,0.9069957667
60.19047619,0.01351901991,0.9086959069
60.28571429,0.01354431355,0.9103960471
60.38095238,0.01356960719,0.9120961872
60.47619048,0.01359490084,0.9137963274
60.57142857,0.01362019448,0.9154964676
60.66666667,0.01364548812,0.9171966078
60.76190476,0.01364352131,0.9170644067
60.85714286,0.01363880235,0.9167472164
60.95238095,0.01363408339,0.916430026
61.04761905,0.01362936442,0.9161128357
61.14285714,0.01362464546,0.9157956454
61.23809524,0.0136199265,0.915478455
61.33333333,0.01361520753,0.9151612647
61.42857143,0.01361048857,0.9148440744
61.52380952,0.01360576961,0.914526884
61.61904762,0.01360105064,0.9142096937
61.71428571,0.01359633168,0.9138925034
61.80952381,0.01359161272,0.913575313
61.9047619,0.01358689376,0.9132581227
62,0.01358217479,0.9129409324
62.0952381,0.01357745583,0.912623742
62.19047619,0.01357273687,0.9123065517
62.28571429,0.0135680179,0.9119893613
62.38095238,0.01356329894,0.911672171
62.47619048,0.01355857998,0.9113549807
62.57142857,0.01355386101,0.9110377903
62.66666667,0.01354914205,0.9107206
62.76190476,0.01351956293,0.9087324066
62.85714286,0.01348747398,0.9065755123
62.95238095,0.01345538503,0.904418618
63.04761905,0.01342329608,0.9022617238
63.14285714,0.01339120713,0.9001048295
63.23809524,0.01335911818,0.8979479352
63.33333333,0.01332702924,0.8957910409
63.42857143,0.01329494029,0.8936341467
63.52380952,0.01326285134,0.8914772524
63.61904762,0.01323076239,0.8893203581
63.71428571,0.01319867344,0.8871634638
63.80952381,0.01316658449,0.8850065696
63.9047619,0.01313449554,0.8828496753
64,0.01310240659,0.880692781
64.0952381,0.01307031764,0.8785358867
64.19047619,0.01303822869,0.8763789924
64.28571429,0.01300613974,0.8742220982
64.38095238,0.0129740508,0.8720652039
64.47619048,0.01294196185,0.8699083096
64.57142857,0.0129098729,0.8677514153
