Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
29.718,24498.88,0.1789803199,135.9777536,1.359777536,64.32900916
29.845,24637.73,0.1765258588,133.1183664,1.331183664,62.97627655
29.972,24621.7,0.1768085149,133.4476539,1.334476539,63.13205747
30.099,24665.02,0.1760450784,132.558269,1.32558269,62.71130298
30.226,24726.73,0.1749598637,131.2940205,1.312940205,62.1132062
30.353,24784.18,0.1739519958,130.119879,1.30119879,61.55773771
30.48,24866.44,0.1725129363,128.44341,1.2844341,60.76462568
30.607,24896.19,0.1719936606,127.8384665,1.278384665,60.47843611
30.734,24971.46,0.1706826155,126.3111309,1.263111309,59.75587687
30.861,25035.03,0.1695784342,125.0247868,1.250247868,59.14732699
30.988,25077.13,0.168848719,124.1746864,1.241746864,58.74515744
31.115,25165.71,0.1673173627,122.3906938,1.223906938,57.90117763
31.242,25150.72,0.167576128,122.6921491,1.226921491,58.04379156
31.369,25261.88,0.1656608825,120.460935,1.20460935,56.98823805
31.496,25288.79,0.1651985003,119.922271,1.19922271,56.7334043
31.623,25358.68,0.163999907,118.5259391,1.185259391,56.07282088
31.75,25427.82,0.1628174219,117.1483729,1.171483729,55.42111526
31.877,25505.54,0.1614920276,115.6043209,1.156043209,54.69064773
32.004,25524.21,0.1611742412,115.2341076,1.152341076,54.51550545
32.131,25610.9,0.1597017099,113.5186447,1.135186447,53.70394601
32.258,25672.52,0.1586580495,112.3028058,1.123028058,53.1287511
32.385,25749.2,0.1573628098,110.7938833,1.107938833,52.41490279
32.512,25843.6,0.1557735398,108.9424226,1.089424226,51.53900488
32.639,25917.7,0.1545300918,107.4938361,1.074938361,50.8537006
32.766,25997.15,0.1532008103,105.9452558,1.059452558,50.12109076
32.893,26090.23,0.1516486427,104.1370184,1.041370184,49.26564115
33.02,26156.46,0.1505475839,102.8543119,1.028543119,48.65881217
33.147,26256.76,0.1488854158,100.9179268,1.009179268,47.7427378
33.274,26309.33,0.148016762,99.9575619,0.999575619,47.28840378
33.401,26354.53,0.1472712748,99.56561327,0.9956561327,47.10297884
33.528,26474.25,0.1453028847,98.53070901,0.9853070901,46.61338136
33.655,26500.8,0.1448675658,98.301835,0.98301835,46.50510454
33.782,26633,0.1427064613,97.16560886,0.9716560886,45.96757321
33.909,26714.9,0.1413729975,96.4645246,0.964645246,45.6359009
34.036,26823.02,0.1396188769,95.54227508,0.9554227508,45.19959867
34.163,26889.75,0.1385397858,94.97493025,0.9497493025,44.93119645
34.29,26963.27,0.1373539897,94.35148401,0.9435148401,44.63625351
34.417,27028.88,0.1362985002,93.79654797,0.9379654797,44.3737217
34.544,27101.82,0.1351280938,93.18119305,0.9318119305,44.08260663
34.671,27164.63,0.1341227563,92.65262503,0.9265262503,43.83254914
34.798,27287.6,0.1321612101,91.62131903,0.9162131903,43.34465394
34.925,27373.45,0.1307970134,90.90407658,0.9090407658,43.00533743
35.052,27413.22,0.1301664989,90.57257617,0.9057257617,42.84850962
35.179,27561.58,0.12782244,89.34015962,0.8934015962,42.26547208
35.306,27637.14,0.1266334518,88.71503512,0.8871503512,41.96973518
35.433,27731.47,0.1251536589,87.9370166,0.879370166,41.60166644
35.56,27844.99,0.1233794841,87.00422332,0.8700422332,41.16037611
35.687,27921.68,0.1221850048,86.37621181,0.8637621181,40.86327341
35.814,28027.55,0.1205414143,85.51207477,0.8551207477,40.4544633
35.941,28119.64,0.119116794,84.76306387,0.8476306387,40.10011763
36.068,28210.61,0.1177140733,84.02556698,0.8402556698,39.75121905
36.195,28284.03,0.1165852611,83.4320807,0.834320807,39.47044971
36.322,28399.38,0.1148176915,82.50276017,0.8250276017,39.03080229
36.449,28494.03,0.1133726731,81.74302478,0.8174302478,38.67138302
36.576,28589.93,0.1119134583,80.97582543,0.8097582543,38.30843266
36.703,28703.53,0.1101912402,80.07034899,0.8007034899,37.88006552
36.83,28819.33,0.1084426703,79.15101784,0.7915101784,37.44514392
36.957,28899.93,0.1072297595,78.5133157,0.785133157,37.14345673
37.084,29013.86,0.1055210392,77.61493591,0.7761493591,36.7184469
37.211,29146.29,0.1035432686,76.57509976,0.7657509976,36.22651621
37.338,29178.68,0.1030609092,76.32149361,0.7632149361,36.106539
37.465,29345.79,0.100580745,75.01751811,0.7501751811,35.489648
37.592,29433.24,0.09928847864,74.33809389,0.7433809389,35.16822273
37.719,29550.92,0.09755554415,73.42698321,0.7342698321,34.7371901
37.846,29675.55,0.09572777352,72.46601131,0.7246601131,34.2825689
37.973,29691.15,0.09549953129,72.34601027,0.7234601027,34.22579823
38.1,29821.73,0.09359371647,71.34400571,0.7134400571,33.7517651
38.227,29925.49,0.09208528007,70.55092753,0.7055092753,33.37657186
38.354,30063.77,0.0900831101,69.49826313,0.6949826313,32.87857233
38.481,30178.23,0.0884327862,68.63058593,0.6863058593,32.46808743
38.608,30251.94,0.08737331997,68.0735591,0.680735591,32.2045665
38.735,30386.46,0.0854464423,67.0604805,0.670604805,31.72529441
38.862,30470.52,0.08424668453,66.42969375,0.6642969375,31.42687878
38.989,30596.99,0.08244784578,65.48393312,0.6548393312,30.97945379
39.116,30743.72,0.08037013423,64.39155184,0.6439155184,30.46266481
39.243,30765.92,0.08005664392,64.22673062,0.6422673062,30.3846904
39.37,30875.12,0.07851789613,63.41771588,0.6341771588,30.00195781
39.497,31008.66,0.07664355119,62.43225698,0.6243225698,29.53575218
39.624,31064.53,0.07586176313,62.02122271,0.6202122271,29.34129811
39.751,31200.15,0.07396986837,61.0265368,0.610265368,28.87072732
39.878,31332.19,0.07213579888,60.06225319,0.6006225319,28.4145394
40.005,31401.55,0.07117546469,59.5573462,0.595573462,28.17567557
40.132,31516.95,0.06958236761,58.71975667,0.5871975667,27.77942469
40.259,31581.63,0.06869200916,58.25164025,0.5825164025,27.55796592
40.386,31732.18,0.0666266412,57.16574875,0.5716574875,27.04424716
40.513,31845.47,0.06507888742,56.351999,0.56351999,26.65927451
40.64,32012.09,0.06281252113,55.16043027,0.5516043027,26.09556145
40.767,32083.13,0.0618498193,54.65427846,0.5465427846,25.85610872
