crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
20,0.0082755,0.0074527,0.0066299,0.00724645,0.007863,0.0097085,0.011554,0.013173,0.014792,0.01881,0.022828,0.036985,0.051142,0.128421,0.2057,0.234325,0.26295,0.1506515,0.038353,0.033806,0.029259,0.0290125,0.028766,0.028864,0.028962,0.028982,0.029002,0.0287015,0.028401,0.0278325,0.027264,0.026788,0.026312,0.026376,0.02644,0.0458925,0.065345,0.1156825,0.16602,0.107203,0.048386,0.0354065,0.022427,0.0180955,0.013764,0.012248,0.010732,0.00884885,0.0069657,0.0063674,0.0057691,0.0068123,0.0078555
25,0.0082695,0.0064816,0.00665815,0.0068347,0.0079962,0.0091577,0.01080285,0.012448,0.014399,0.01635,0.0235775,0.030805,0.062379,0.093953,0.2351065,0.37626,0.221668,0.067076,0.045938,0.0248,0.0235245,0.022249,0.0223005,0.022352,0.0225305,0.022709,0.0224815,0.022254,0.021992,0.02173,0.0214835,0.021237,0.02078,0.020323,0.023483,0.026643,0.1062615,0.18588,0.135101,0.084322,0.057022,0.029722,0.02279,0.015858,0.0135975,0.011337,0.01001495,0.0086929,0.0074177,0.0061425,0.00602855,0.0059146,0.0075572
30,0.0082635,0.0071577,0.0060519,0.006672,0.0072921,0.00903605,0.01078,0.012205,0.01363,0.017483,0.021336,0.0342755,0.047215,0.1225075,0.1978,0.227655,0.25751,0.1436645,0.029819,0.024789,0.019759,0.0196505,0.019542,0.0196045,0.019667,0.0195155,0.019364,0.019248,0.019132,0.018881,0.01863,0.0183,0.01797,0.018439,0.018908,0.0386365,0.058365,0.1097325,0.1611,0.1026475,0.044195,0.032067,0.019939,0.016284,0.012629,0.0111504,0.0096718,0.00825535,0.0068389,0.0063615,0.0058841,0.0065715,0.0072589
35,0.00825815,0.0065328,0.00654195,0.0065511,0.00746775,0.0083844,0.0100722,0.01176,0.013662,0.015564,0.021544,0.027524,0.0576915,0.087859,0.2267545,0.36565,0.21419,0.06273,0.041505,0.02028,0.019014,0.017748,0.0176665,0.017585,0.0176685,0.017752,0.017687,0.017622,0.0173715,0.017121,0.0168375,0.016554,0.0165015,0.016449,0.0197235,0.022998,0.099524,0.17605,0.127654,0.079258,0.052699,0.02614,0.0202445,0.014349,0.0124955,0.010642,0.0093683,0.0080946,0.00697725,0.0058599,0.00586965,0.0058794,0.00726075
40,0.0082528,0.00695715,0.0056615,0.00635715,0.0070528,0.0087699,0.010487,0.01181,0.013133,0.0159595,0.018786,0.030114,0.041442,0.112106,0.18277,0.215925,0.24908,0.1376225,0.026165,0.021461,0.016757,0.0164745,0.016192,0.0161585,0.016125,0.0161655,0.016206,0.0161075,0.016009,0.015706,0.015403,0.015289,0.015175,0.015592,0.016009,0.034107,0.052205,0.1016375,0.15107,0.0948255,0.038581,0.027875,0.017169,0.014686,0.012203,0.01078625,0.0093695,0.00791495,0.0064604,0.0059103,0.0053602,0.0063114,0.0072626
45,0.0079385,0.0061033,0.0059427,0.0057821,0.00685595,0.0079298,0.0094269,0.010924,0.0127205,0.014517,0.0186025,0.022688,0.047421,0.072154,0.198667,0.32518,0.19016,0.05514,0.0359725,0.016805,0.0158905,0.014976,0.014943,0.01491,0.0147965,0.014683,0.014745,0.014807,0.0145595,0.014312,0.0141435,0.013975,0.0138545,0.013734,0.0164275,0.019121,0.0860155,0.15291,0.109261,0.065612,0.043413,0.021214,0.0172465,0.013279,0.0116367,0.0099944,0.0088597,0.007725,0.00661865,0.0055123,0.00555595,0.0055996,0.00700515
50,0.0076242,0.00649155,0.0053589,0.00565645,0.005954,0.0076594,0.0093648,0.0109374,0.01251,0.0146715,0.016833,0.023839,0.030845,0.0805875,0.13033,0.156745,0.18316,0.101738,0.020316,0.01686,0.013404,0.0133235,0.013243,0.0132165,0.01319,0.013132,0.013074,0.013039,0.013004,0.0127795,0.012555,0.012389,0.012223,0.0126105,0.012998,0.024924,0.03685,0.07106,0.10527,0.0667025,0.028135,0.0215665,0.014998,0.013225,0.011452,0.01007005,0.0086881,0.00737405,0.00606,0.0055979,0.0051358,0.00594175,0.0067477
55,0.0073713,0.0056664,0.00545,0.0052336,0.0061394,0.0070452,0.0086036,0.010162,0.0119275,0.013693,0.015526,0.017359,0.029996,0.042633,0.0919015,0.14117,0.085578,0.029986,0.0206365,0.011287,0.0107135,0.01014,0.010223,0.010306,0.0101815,0.010057,0.00998225,0.0099075,0.00974625,0.009585,0.0094664,0.0093478,0.0093781,0.0094084,0.0106307,0.011853,0.037059,0.062265,0.0493275,0.03639,0.025822,0.015254,0.0137485,0.012243,0.010698,0.009153,0.00794665,0.0067403,0.00604675,0.0053532,0.0051295,0.0049058,0.00658005
60,0.0071184,0.0060734,0.0050284,0.0052295,0.0054306,0.0068901,0.0083496,0.0094933,0.010637,0.0114305,0.012224,0.015302,0.01838,0.031049,0.043718,0.0428135,0.041909,0.026472,0.011035,0.00966275,0.0082905,0.008084,0.0078775,0.00797975,0.008082,0.0079697,0.0078574,0.0077138,0.0075702,0.00763655,0.0077029,0.0075002,0.0072975,0.0073234,0.0073493,0.01037665,0.013404,0.021814,0.030224,0.023098,0.015972,0.0132075,0.010443,0.01004765,0.0096523,0.00863035,0.0076084,0.0063634,0.0051184,0.00485675,0.0045951,0.00550375,0.0064124
65,0.00695665,0.0051687,0.0049607,0.0047527,0.005585,0.0064173,0.00746525,0.0085132,0.0095736,0.010634,0.0111545,0.011675,0.0149945,0.018314,0.021794,0.025274,0.018141,0.011008,0.0090692,0.0071304,0.00698245,0.0068345,0.0068441,0.0068537,0.00678335,0.006713,0.00666515,0.0066173,0.00661365,0.00661,0.00641935,0.0062287,0.0061486,0.0060685,0.00635935,0.0066502,0.0101181,0.013586,0.0138975,0.014209,0.0122895,0.01037,0.00974765,0.0091253,0.00828265,0.00744,0.0066696,0.0058992,0.00519215,0.0044851,0.004583,0.0046809,0.0061875
