x_mm,intensity,net_od,dose_cgy,dose_gy,normalized_percent,smoothed_percent
24.003,36968.18,0.2187867038,198.2956477,1.982956477,66.09854922,66.09854922
24.13,36976.63,0.2186874463,198.1741956,1.981741956,66.05806519,66.05806519
24.257,36913.47,0.2194299015,199.0826686,1.990826686,66.36088952,66.36088952
24.384,36890.99,0.2196944638,199.4063887,1.994063887,66.46879625,66.46879625
24.511,36898.12,0.2196105349,199.3036928,1.993036928,66.43456427,66.43456427
24.638,36947.14,0.2190339477,198.5981769,1.985981769,66.1993923,66.1993923
24.765,36893.29,0.2196673882,199.3732589,1.993732589,66.45775295,66.45775295
24.892,36888.98,0.219718127,199.4353431,1.994353431,66.47844769,66.47844769
25.019,36916.02,0.2193999013,199.0459601,1.990459601,66.34865336,66.34865336
25.146,36919.64,0.2193573163,198.9938528,1.989938528,66.33128427,66.33128427
25.273,36960.05,0.2188822238,198.4125266,1.984125266,66.13750887,66.13750887
25.4,37002.16,0.2183876971,197.8074206,1.978074206,65.93580687,65.93580687
25.527,36970.86,0.2187552208,198.2571249,1.982571249,66.08570832,66.08570832
25.654,36994.36,0.2184792554,197.9194519,1.979194519,65.97315064,65.97315064
25.781,37003.68,0.2183698573,197.7855916,1.977855916,65.92853054,65.92853054
25.908,36973.83,0.2187203338,198.214437,1.98214437,66.07147899,66.07147899
26.035,37028.14,0.2180828768,197.4344405,1.974344405,65.81148016,65.81148016
26.162,37059.54,0.2177147495,196.9839976,1.969839976,65.66133253,65.66133253
26.289,37058.43,0.2177277576,196.9999144,1.969999144,65.66663813,65.66663813
26.416,37111.36,0.2171079039,196.2414574,1.962414574,65.41381912,65.41381912
26.543,37056.26,0.217753189,197.0310324,1.970310324,65.67701079,65.67701079
26.67,37036.34,0.2179867115,197.3167721,1.973167721,65.77225735,65.77225735
26.797,37054.49,0.2177739337,197.0564157,1.970564157,65.68547189,65.68547189
26.924,37069.11,0.2176026148,196.8467888,1.968467888,65.61559627,65.61559627
27.051,37036.09,0.2179896431,197.3203591,1.973203591,65.77345304,65.77345304
27.178,37047.46,0.2178563361,197.1572438,1.971572438,65.71908127,65.71908127
27.305,37056.46,0.217750845,197.0281643,1.970281643,65.67605476,65.67605476
27.432,37070.6,0.2175851586,196.8254293,1.968254293,65.60847643,65.60847643
27.559,37081.25,0.2174604082,196.6727839,1.966727839,65.55759463,65.55759463
27.686,37037.1,0.2179777997,197.3058675,1.973058675,65.76862251,65.76862251
27.813,37062.63,0.2176785398,196.9396912,1.969396912,65.64656373,65.64656373
27.94,37075.4,0.2175289286,196.7566259,1.967566259,65.58554198,65.58554198
28.067,37052.14,0.2178014775,197.0901185,1.970901185,65.69670618,65.69670618
28.194,37052.67,0.2177952654,197.0825173,1.970825173,65.69417242,65.69417242
28.321,37008.85,0.2183091837,197.711351,1.97711351,65.90378368,65.90378368
28.448,37015.42,0.2182320924,197.6170216,1.976170216,65.87234053,65.87234053
28.575,37024.74,0.2181227564,197.4832375,1.974832375,65.82774582,65.82774582
28.702,37011.93,0.2182730418,197.6671275,1.976671275,65.88904252,65.88904252
28.829,37020.48,0.2181727284,197.5443835,1.975443835,65.84812785,65.84812785
28.956,37051.45,0.2178095652,197.1000147,1.971000147,65.70000489,65.70000489
29.083,37007.85,0.2183209187,197.7257101,1.977257101,65.90857004,65.90857004
29.21,37000.82,0.218403425,197.8266653,1.978266653,65.94222178,65.94222178
29.337,36993.38,0.2184907603,197.9335293,1.979335293,65.9778431,65.9778431
29.464,36974.73,0.2187097625,198.2015019,1.982015019,66.0671673,66.0671673
29.591,36949.64,0.2190045625,198.562221,1.98562221,66.18740699,66.18740699
29.718,36967.39,0.2187959846,198.3070038,1.983070038,66.1023346,66.1023346
29.845,36918.89,0.2193661388,199.0046481,1.990046481,66.3348827,66.3348827
29.972,36912.11,0.2194459025,199.1022475,1.991022475,66.36741582,66.36741582
30.099,36900.38,0.2195839353,199.2711453,1.992711453,66.42371512,66.42371512
30.226,36920.18,0.2193509642,198.9860803,1.989860803,66.32869344,66.32869344
30.353,36943.6,0.2190755605,198.6490947,1.986490947,66.21636489,66.21636489
30.48,36923.57,0.2193110892,198.9372891,1.989372891,66.31242969,66.31242969
30.607,36937.65,0.219145512,198.7346878,1.987346878,66.24489592,66.24489592
30.734,36929.12,0.2192458151,198.8574193,1.988574193,66.28580642,66.28580642
30.861,36847.68,0.2202046248,200.0326562,2.000326562,66.67755207,66.67755207
30.988,36864.86,0.2200021849,199.7829182,1.997829182,66.59430608,66.59430608
31.115,36848.09,0.2201997925,200.0263512,2.000263512,66.6754504,66.6754504
31.242,36903.51,0.2195470987,199.2260719,1.992260719,66.40869062,66.40869062
31.369,36926.44,0.2192773336,198.8959855,1.988959855,66.29866184,66.29866184
31.496,36843.77,0.2202507114,200.0927882,2.000927882,66.69759606,66.69759606
31.623,36840.66,0.2202873719,200.1406215,2.001406215,66.7135405,66.7135405
31.75,36887.59,0.2197344918,199.4553672,1.994553672,66.48512239,66.48512239
31.877,36865.59,0.2199935851,199.7723954,1.997723954,66.59079848,66.59079848
32.004,36714.34,0.2217790484,202.0869052,2.020869052,67.36230174,67.36230174
32.131,36891.71,0.2196859878,199.3960174,1.993960174,66.46533914,66.46533914
32.258,36960.41,0.2188779937,198.4073506,1.984073506,66.13578354,66.13578354
32.385,36943.66,0.2190748552,198.6482316,1.986482316,66.2160772,66.2160772
32.512,36970.34,0.2187613293,198.2645993,1.982645993,66.08819976,66.08819976
32.639,36986.33,0.2185735337,198.0348114,1.980348114,66.01160379,66.01160379
32.766,36952,0.2189768246,198.5282808,1.985282808,66.1760936,66.1760936
32.893,36970.4,0.2187606244,198.2637369,1.982637369,66.08791229,66.08791229
33.02,36940.21,0.2191154139,198.6978595,1.986978595,66.23261982,66.23261982
33.147,36945.69,0.219050992,198.6190325,1.986190325,66.20634415,66.20634415
33.274,36965.03,0.2188237109,198.3409298,1.983409298,66.11364327,66.11364327
33.401,36938.14,0.2191397509,198.7276384,1.987276384,66.24254614,66.24254614
33.528,36983.47,0.2186071172,198.0759044,1.980759044,66.02530145,66.02530145
33.655,37001.89,0.2183908661,197.8112982,1.978112982,65.93709941,65.93709941
33.782,37003.42,0.2183729088,197.7893255,1.977893255,65.92977516,65.92977516
33.909,37032.33,0.218033736,197.3743115,1.973743115,65.79143717,65.79143717
34.036,37044.88,0.2178865816,197.1942524,1.971942524,65.73141746,65.73141746
34.163,37061.59,0.2176907266,196.954603,1.96954603,65.65153432,65.65153432
34.29,37068.44,0.2176104644,196.8563937,1.968563937,65.6187979,65.6187979
34.417,36996.69,0.2184519033,197.8859837,1.978859837,65.96199456,65.96199456
34.544,36990.91,0.2185197585,197.9690118,1.979690118,65.98967058,65.98967058
34.671,37011.5,0.2182780874,197.6733014,1.976733014,65.89110046,65.89110046
34.798,37038.46,0.2179618528,197.2863547,1.972863547,65.76211823,65.76211823
34.925,37057.7,0.2177363127,197.0103824,1.970103824,65.67012748,65.67012748
35.052,37057.91,0.2177338516,197.0073711,1.970073711,65.66912369,65.66912369
35.179,37013.3,0.2182569666,197.6474579,1.976474579,65.88248596,65.88248596
35.306,37021.8,0.2181572435,197.5254361,1.975254361,65.84181204,65.84181204
35.433,37029.57,0.218066105,197.4139184,1.974139184,65.80463946,65.80463946
35.56,37039.97,0.2179441476,197.2646906,1.972646906,65.75489686,65.75489686
35.687,37045.94,0.2178741549,197.179047,1.97179047,65.726349,65.726349
35.814,36985.9,0.2185785828,198.0409895,1.980409895,66.01366316,66.01366316
35.941,37037.1,0.2179777997,197.3058675,1.973058675,65.76862251,65.76862251
36.068,37024.61,0.2181242813,197.4851033,1.974851033,65.82836777,65.82836777
