Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
46.228,27422.75,0.1225362344,113.4415938,1.134415938,46.80608326
46.355,27514.04,0.1210928745,112.4472597,1.124472597,46.39582028
46.482,27547.08,0.1205716686,112.0881996,1.120881996,46.24767185
46.609,27605.06,0.1196585434,111.4591455,1.114591455,45.98812366
46.736,27727.52,0.1177362116,110.1348464,1.101348464,45.44171691
46.863,27679.13,0.1184948035,110.6574422,1.106574422,45.65734029
46.99,27818.05,0.1163205555,109.1595974,1.091595974,45.03932849
47.117,27904.07,0.1149796861,108.2358693,1.082358693,44.65819759
47.244,27963.22,0.1140600594,107.6023362,1.076023362,44.39680136
47.371,28053.4,0.1126617347,106.6390269,1.066390269,43.99933927
47.498,28154.58,0.1110981858,105.5618943,1.055618943,43.55491356
47.625,28203.18,0.1103491597,105.0458883,1.050458883,43.34200915
47.752,28254.11,0.1095656072,104.5060972,1.045060972,43.11929092
47.879,28353.52,0.108040256,103.455279,1.03455279,42.68572258
48.006,28447.24,0.1066071021,102.4679758,1.024679758,42.27836057
48.133,28506.4,0.105704864,101.8464218,1.018464218,42.02190694
48.26,28582.3,0.1045500656,101.0508783,1.010508783,41.69366514
48.387,28579.31,0.1045954996,101.0821779,1.010821779,41.70657938
48.514,28692.3,0.1028818758,99.87458218,0.9987458218,41.2083245
48.641,28768.05,0.101736814,98.86855834,0.9886855834,40.79323834
48.768,28857.82,0.1003837187,97.67976126,0.9767976126,40.30273981
48.895,28924.97,0.09937432168,96.79292926,0.9679292926,39.93683229
49.022,28979.16,0.09856144616,96.07875633,0.9607875633,39.64216402
49.149,29049.27,0.0975120157,95.1567519,0.951567519,39.26174433
49.276,29149.36,0.09601821499,93.84433442,0.9384433442,38.72023993
49.403,29191.29,0.09539395143,93.29587143,0.9329587143,38.49394371
49.53,29304.75,0.09370921812,91.81570515,0.9181570515,37.88322604
49.657,29370.21,0.09274018709,90.96433773,0.9096433773,37.53195123
49.784,29447.37,0.09160072567,89.96323426,0.8996323426,37.11889521
49.911,29571.6,0.08977241578,88.35692504,0.8835692504,36.45613088
50.038,29676.85,0.08822943728,87.00130114,0.8700130114,35.89679948
50.165,29703.87,0.08783420335,86.65405809,0.8665405809,35.75352675
50.292,29804.61,0.08636379551,85.36219303,0.8536219303,35.22050229
50.419,29844.36,0.08578496881,84.85364977,0.8485364977,35.01067698
50.546,29967.35,0.0839988987,83.28445142,0.8328445142,34.36322461
50.673,30028.26,0.08311707132,82.50969902,0.8250969902,34.04356121
50.8,30074.88,0.08244333571,81.91777108,0.8191777108,33.79933132
50.927,30173.44,0.08102241302,80.66938249,0.8066938249,33.28424528
51.054,30285.08,0.07941851365,79.26023497,0.7926023497,32.70283001
51.181,30356.65,0.07839339545,78.35959071,0.7835959071,32.33122353
51.308,30483.52,0.07658212435,76.76825137,0.7676825137,31.67463578
51.435,30552.38,0.07560219186,75.90730619,0.7590730619,31.31940917
51.562,30633.93,0.07444452323,74.89020629,0.7489020629,30.89975303
51.689,30744.32,0.07288234707,73.51771578,0.7351771578,30.33346245
51.816,30864.42,0.07118911869,72.03008595,0.7203008595,29.71966531
51.943,30835.18,0.07160075091,72.39173614,0.7239173614,29.86888244
52.07,30962.4,0.06981262192,70.8207289,0.708207289,29.22068373
52.197,31037.31,0.0687631649,69.89870114,0.6989870114,28.8402544
52.324,31164.01,0.06699390383,68.3442708,0.683442708,28.19889533
52.451,31288.58,0.06526138528,66.82212155,0.6682212155,27.57085545
52.578,31279.08,0.06539326804,66.93799058,0.6693799058,27.6186631
52.705,31384.02,0.06393866699,65.66001298,0.6566001298,27.09136862
52.832,31467.53,0.06278458396,64.64606332,0.6464606332,26.67301226
52.959,31540.49,0.0617788028,63.76240812,0.6376240812,26.30841549
53.086,31649.48,0.0602806599,62.4461757,0.624461757,25.76533704
53.213,31715.46,0.0593762241,61.65156009,0.6165156009,25.43747807
53.34,31765.09,0.05869714871,61.05494074,0.6105494074,25.1913125
53.467,31870.6,0.05725699923,59.78965996,0.5978965996,24.66925674
53.594,31886.61,0.05703888885,59.59803341,0.5959803341,24.59019148
53.721,31942.86,0.05627344082,58.92552913,0.5892552913,24.31271574
53.848,32039.42,0.05496259329,57.77384993,0.5777384993,23.83753207
53.975,32150.13,0.05346450552,56.45766595,0.5645766595,23.29447361
54.102,32194.14,0.05287041057,55.93570837,0.5593570837,23.07911354
54.229,32336.02,0.05096067408,54.2578597,0.542578597,22.38683197
54.356,32349.49,0.0507798006,54.0989486,0.540989486,22.32126513
54.483,32423.08,0.049792971,53.23194378,0.5323194378,21.96353832
54.61,32525.64,0.04842138803,52.02690388,0.5202690388,21.46633799
54.737,32509.59,0.04863574651,52.2152341,0.522152341,21.54404318
54.864,32686.48,0.04627908485,50.14472769,0.5014472769,20.68975074
54.991,32756.54,0.04534921691,49.17039055,0.4917039055,20.28773854
55.118,32847.35,0.0441469008,47.86676599,0.4786676599,19.7498621
55.245,32940.26,0.0429202161,46.53671953,0.4653671953,19.20108398
55.372,32964.71,0.04259797939,46.1873308,0.461873308,19.05692594
55.499,32973.28,0.04248508836,46.06492745,0.4606492745,19.00642223
55.626,33059.82,0.04134675422,44.83067606,0.4483067606,18.49716921
55.753,33076.72,0.04112480197,44.59002188,0.4459002188,18.39787512
55.88,33205.77,0.03943368344,42.75640788,0.4275640788,17.64132467
56.007,33232.18,0.03908840734,42.38203845,0.4238203845,17.48685957
56.134,33316.67,0.03798565168,41.18636342,0.4118636342,16.9935232
56.261,33386.06,0.03708206933,40.20664425,0.4020664425,16.58929036
56.388,33509.31,0.03548175363,38.47148423,0.3847148423,15.87336209
56.515,33525.9,0.03526679359,38.23841143,0.3823841143,15.77719608
56.642,33620.04,0.03404901306,36.9180194,0.369180194,15.23240138
56.769,33638.25,0.03381384494,36.66303577,0.3666303577,15.12719495
56.896,33732.28,0.03260154227,35.34858318,0.3534858318,14.58485086
57.023,33760.86,0.03223373787,34.94978718,0.3494978718,14.42030735
57.15,33850.33,0.03108433198,33.70353112,0.3370353112,13.9061012
57.277,33849.95,0.03108920735,33.70881729,0.3370881729,13.90828228
57.404,33875.29,0.03076421706,33.35644297,0.3335644297,13.76289238
57.531,33947,0.02984583849,32.36068084,0.3236068084,13.35204021
57.658,33991.14,0.02928150861,31.74879992,0.3174879992,13.0995777
57.785,34084.37,0.02809196776,30.45902708,0.3045902708,12.5674165
57.912,34122.91,0.02760117818,29.92688305,0.2992688305,12.34785349
58.039,34145,0.02732012181,29.62214457,0.2962214457,12.22211817
58.166,34229.57,0.02624579541,28.45729427,0.2845729427,11.7415001
58.293,34245.92,0.02603840106,28.23242465,0.2823242465,11.64871873
58.42,34280.66,0.02559806414,27.75498446,0.2775498446,11.45172657
58.547,34281.55,0.02558678906,27.74275934,0.2774275934,11.44668247
58.674,34331.09,0.02495964653,27.0627731,0.270627731,11.16611966
58.801,34371.62,0.02444723712,26.50718753,0.2650718753,10.93688466
58.928,34456.39,0.02337746446,25.34727468,0.2534727468,10.45830378
59.055,34464.15,0.02327966705,25.24123675,0.2524123675,10.41455245
59.182,34576.46,0.0218667115,23.70922406,0.2370922406,9.782442914
59.309,34656.96,0.02085677377,22.61418789,0.2261418789,9.330630203
59.436,34664.29,0.02076492954,22.51460476,0.2251460476,9.289542133
59.563,34697.3,0.02035155776,22.06640184,0.2206640184,9.104613282
59.69,34728.99,0.01995508567,21.63652258,0.2163652258,8.927244793
59.817,34833.63,0.01864850438,20.21984735,0.2021984735,8.342723574
59.944,34809.28,0.0189521985,20.54913106,0.2054913106,8.478586269
60.071,34881.46,0.01805258438,19.57371449,0.1957371449,8.07612869
60.198,34929.87,0.01745026956,18.92064798,0.1892064798,7.806672978
60.325,34941.11,0.01731054145,18.76914623,0.1876914623,7.744163246
60.452,34964.7,0.01701743256,18.45133967,0.1845133967,7.613036031
60.579,34971.66,0.01693099141,18.3576149,0.183576149,7.574365123
60.706,35020.08,0.01633010502,17.70609717,0.1770609717,7.305548439
60.833,35072.1,0.01568546811,17.00714247,0.1700714247,7.017159225
60.96,35122.97,0.01505600612,16.32464134,0.1632464134,6.735558767
61.087,35109.11,0.01522741843,16.51049704,0.1651049704,6.812242962
61.214,35145.86,0.01477306414,16.01785836,0.1601785836,6.60897989
61.341,35111.46,0.01519835025,16.47897954,0.1647897954,6.799238821
61.468,35203.62,0.01405991445,15.24461791,0.1524461791,6.289940325
61.595,35198.61,0.01412172543,15.31163715,0.1531163715,6.317592511
61.722,35236.29,0.01365706323,14.80782202,0.1480782202,6.109718025
61.849,35269.03,0.01325372339,14.37049633,0.1437049633,5.92927713
61.976,35321.07,0.01261338745,13.676205,0.13676205,5.642812028
62.103,35313.51,0.01270635229,13.77700316,0.1377700316,5.684401421
62.23,35368.41,0.01203170249,13.04550664,0.1304550664,5.382585429
62.357,35340.33,0.01237663834,13.41950715,0.1341950715,5.536898311
62.484,35378.51,0.01190770064,12.91105626,0.1291105626,5.327111108
62.611,35344.99,0.01231937574,13.35741955,0.1335741955,5.511280923
62.738,35436.28,0.01119911426,12.14276364,0.1214276364,5.010113017
62.865,35409.11,0.01153222787,12.50394575,0.1250394575,5.159137018
62.992,35449.74,0.0110341846,11.96393682,0.1196393682,4.936328944
63.119,35473.92,0.01073805659,11.64285675,0.1164285675,4.803851077
63.246,35464.89,0.01084862172,11.76273821,0.1176273821,4.853314254
63.373,35508.98,0.01030904155,11.17769245,0.1117769245,4.61192395
63.5,35580.76,0.009432018553,10.22677055,0.1022677055,4.21957289
63.627,35546.01,0.009856380139,10.6868893,0.106868893,4.409418217
63.754,35569.14,0.009573874042,10.38057893,0.1038057893,4.28303434
63.881,35617.07,0.008989049041,9.746475951,0.09746475951,4.021402993
64.008,35588.03,0.009343290871,10.13056658,0.1013056658,4.179879062
64.135,35615.18,0.009012095248,9.771464056,0.09771464056,4.031713103
64.262,35608.32,0.009095754719,9.862172763,0.09862172763,4.069139581
64.389,35645.6,0.008641309552,9.36943556,0.0936943556,3.865835857
64.516,35664.13,0.008415604675,9.124712547,0.09124712547,3.764862965
64.643,35595.16,0.009256289441,10.03623431,0.1003623431,4.140957502
64.77,35670.4,0.008339259421,9.04193436,0.0904193436,3.730708626
64.897,35646.72,0.008627664048,9.354640271,0.09354640271,3.85973131
65.024,35712.41,0.007828079956,8.487682366,0.08487682366,3.502023854
65.151,35700.29,0.007975494889,8.647518639,0.08647518639,3.567972415
65.278,35713.27,0.007817621722,8.47634291,0.0847634291,3.497345186
65.405,35720.13,0.007734208076,8.385900741,0.08385900741,3.460028682
65.532,35732.52,0.007583593405,8.222595116,0.08222595116,3.392648664
65.659,35769.87,0.007129877093,7.730648181,0.07730648181,3.189671004
65.786,35753.32,0.007330862921,7.948569291,0.07948569291,3.279585411
65.913,35771.24,0.007113243763,7.712613309,0.07712613309,3.182229803
66.04,35716.39,0.007779682334,8.435206709,0.08435206709,3.48037236
66.167,35738.34,0.007512862652,8.145904514,0.08145904514,3.361006066
66.294,35773.26,0.007088719869,7.686023005,0.07686023005,3.171258625
66.421,35801.08,0.006751110802,7.319966636,0.07319966636,3.020223503
66.548,35797.86,0.006790173621,7.36232093,0.0736232093,3.037698916
66.675,35797.22,0.006797938078,7.370739629,0.07370739629,3.041172477
66.802,35791.37,0.006868916504,7.447698773,0.07447698773,3.072925875
