Depth [mm],Dose [Gy],PDD [%]
79.8,0.01331034101,0.7476964008
79.9,0.01329308832,0.7467272466
80,0.01327583563,0.7457580924
80.1,0.01325858295,0.7447889381
80.2,0.01324133026,0.7438197839
80.3,0.01322407757,0.7428506297
80.4,0.01320682488,0.7418814755
80.5,0.01318957219,0.7409123213
80.6,0.0131723195,0.739943167
80.7,0.01315239241,0.7388237806
80.8,0.01312426817,0.7372439265
80.9,0.01309614392,0.7356640724
81,0.01306801967,0.7340842182
81.1,0.01303989543,0.7325043641
81.2,0.01301177118,0.7309245099
81.3,0.01298364694,0.7293446558
81.4,0.01295552269,0.7277648017
81.5,0.01292739845,0.7261849475
81.6,0.0128992742,0.7246050934
81.7,0.01287114995,0.7230252392
81.8,0.01284302571,0.7214453851
