Depth [mm],Dose [Gy],PDD [%]
41.9047619,0.2511551702,14.06380537
42,0.2457425051,13.76071518
42.0952381,0.24032984,13.45762499
42.19047619,0.2349171749,13.15453479
42.28571429,0.2295045097,12.8514446
42.38095238,0.2240918446,12.54835441
42.47619048,0.2186791795,12.24526422
42.57142857,0.2132665144,11.94217403
42.66666667,0.2078538493,11.63908383
42.76190476,0.2024411841,11.33599364
42.85714286,0.197028519,11.03290345
42.95238095,0.1916158539,10.72981326
43.04761905,0.1862031888,10.42672306
43.14285714,0.1807905237,10.12363287
43.23809524,0.1753778585,9.820542681
43.33333333,0.1699651934,9.517452489
43.42857143,0.1645525283,9.214362297
43.52380952,0.1591398632,8.911272105
43.61904762,0.1537271981,8.608181912
43.71428571,0.1497937372,8.387921951
43.80952381,0.1463825662,8.196908386
43.9047619,0.1429713953,8.00589482
44,0.1395602243,7.814881255
44.0952381,0.1361490533,7.623867689
44.19047619,0.1327378824,7.432854124
44.28571429,0.1293267114,7.241840558
44.38095238,0.1259155404,7.050826993
44.47619048,0.1225043695,6.859813428
44.57142857,0.1190931985,6.668799862
44.66666667,0.1156820275,6.477786297
44.76190476,0.1122708566,6.286772731
44.85714286,0.1088596856,6.095759166
44.95238095,0.1054485146,5.9047456
45.04761905,0.1020373437,5.713732035
45.14285714,0.0986261727,5.522718469
45.23809524,0.09521500174,5.331704904
45.33333333,0.09180383077,5.140691338
45.42857143,0.0883926598,4.949677773
45.52380952,0.08498148884,4.758664207
45.61904762,0.08157031787,4.567650642
45.71428571,0.07934244227,4.442897451
45.80952381,0.07753237457,4.341540032
45.9047619,0.07572230687,4.240182613
46,0.07391223917,4.138825194
46.0952381,0.07210217147,4.037467775
46.19047619,0.07029210377,3.936110356
46.28571429,0.06848203607,3.834752937
46.38095238,0.06667196837,3.733395518
46.47619048,0.06486190067,3.632038099
46.57142857,0.06305183297,3.53068068
46.66666667,0.06124176527,3.429323261
46.76190476,0.05943169757,3.327965842
46.85714286,0.05762162987,3.226608423
46.95238095,0.05581156217,3.125251003
47.04761905,0.05400149447,3.023893584
47.14285714,0.05219142677,2.922536165
47.23809524,0.05038135907,2.821178746
47.33333333,0.04857129137,2.719821327
47.42857143,0.04676122367,2.618463908
47.52380952,0.04495115597,2.517106489
47.61904762,0.04314108827,2.41574907
47.71428571,0.04218724064,2.36233696
47.80952381,0.0415357144,2.325853785
47.9047619,0.04088418817,2.289370609
48,0.04023266193,2.252887434
48.0952381,0.03958113569,2.216404258
48.19047619,0.03892960946,2.179921082
48.28571429,0.03827808322,2.143437907
48.38095238,0.03762655698,2.106954731
48.47619048,0.03697503075,2.070471556
48.57142857,0.03632350451,2.03398838
48.66666667,0.03567197827,1.997505204
48.76190476,0.03502045204,1.961022029
48.85714286,0.0343689258,1.924538853
48.95238095,0.03371739957,1.888055677
49.04761905,0.03306587333,1.851572502
49.14285714,0.03241434709,1.815089326
49.23809524,0.03176282086,1.778606151
49.33333333,0.03111129462,1.742122975
49.42857143,0.03045976838,1.705639799
49.52380952,0.02980824215,1.669156624
49.61904762,0.02915671591,1.632673448
49.71428571,0.02883673427,1.614755603
49.80952381,0.02863381719,1.603392961
49.9047619,0.02843090012,1.592030319
50,0.02822798304,1.580667677
50.0952381,0.02802506596,1.569305035
50.19047619,0.02782214888,1.557942393
50.28571429,0.0276192318,1.546579751
50.38095238,0.02741631472,1.535217109
50.47619048,0.02721339765,1.523854467
50.57142857,0.02701048057,1.512491825
50.66666667,0.02680756349,1.501129182
50.76190476,0.02660464641,1.48976654
50.85714286,0.02640172933,1.478403898
50.95238095,0.02619881225,1.467041256
51.04761905,0.02599589518,1.455678614
51.14285714,0.0257929781,1.444315972
51.23809524,0.02559006102,1.43295333
51.33333333,0.02538714394,1.421590688
51.42857143,0.02518422686,1.410228046
51.52380952,0.02498130978,1.398865404
51.61904762,0.02477839271,1.387502762
51.71428571,0.02469424802,1.382790956
51.80952381,0.02465204049,1.380427483
51.9047619,0.02460983296,1.37806401
52,0.02456762543,1.375700537
52.0952381,0.0245254179,1.373337063
52.19047619,0.02448321037,1.37097359
52.28571429,0.02444100284,1.368610117
52.38095238,0.02439879531,1.366246644
52.47619048,0.02435658778,1.363883171
52.57142857,0.02431438025,1.361519698
52.66666667,0.02427217272,1.359156225
52.76190476,0.02422996519,1.356792752
52.85714286,0.02418775766,1.354429279
52.95238095,0.02414555013,1.352065806
53.04761905,0.0241033426,1.349702332
53.14285714,0.02406113507,1.347338859
53.23809524,0.02401892754,1.344975386
53.33333333,0.02397672001,1.342611913
53.42857143,0.02393451248,1.34024844
53.52380952,0.02389230495,1.337884967
53.61904762,0.02385009742,1.335521494
53.71428571,0.02382740114,1.334250582
53.80952381,0.02381159407,1.333365442
53.9047619,0.02379578699,1.332480301
54,0.02377997991,1.33159516
54.0952381,0.02376417284,1.33071002
54.19047619,0.02374836576,1.329824879
54.28571429,0.02373255868,1.328939738
54.38095238,0.0237167516,1.328054598
54.47619048,0.02370094453,1.327169457
54.57142857,0.02368513745,1.326284316
54.66666667,0.02366933037,1.325399176
54.76190476,0.0236535233,1.324514035
