depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
22.225,49123.9,0.09532193526,68.2885821,0.682885821,68.2885821,35.88363823
22.352,49244.22,0.09425951101,67.46886599,0.6746886599,67.46886599,35.45290156
22.479,49498.18,0.09202554324,65.74524251,0.6574524251,65.74524251,34.5471882
22.606,49634.64,0.09082989759,64.82273909,0.6482273909,64.82273909,34.06243983
22.733,49847.53,0.08897113047,63.38860263,0.6338860263,63.38860263,33.30884336
22.86,50058.54,0.08713659499,61.97316215,0.6197316215,61.97316215,32.56507109
22.987,50349.45,0.08462004304,60.03151014,0.6003151014,60.03151014,31.54479015
23.114,50542.28,0.0829599445,58.75065692,0.5875065692,58.75065692,30.87173952
23.241,50729.58,0.08135350715,57.51120612,0.5751120612,57.51120612,30.22044464
23.368,50924.69,0.07968637993,56.22492991,0.5622492991,56.22492991,29.54454438
23.495,51065.38,0.07848820584,55.30047567,0.5530047567,55.30047567,29.0587709
23.622,51056.88,0.0785605016,55.35625564,0.5535625564,55.35625564,29.08808164
23.749,51319.89,0.07632905705,53.63457896,0.5363457896,53.63457896,28.18339126
23.876,51558.93,0.07431087799,52.07744781,0.5207744781,52.07744781,27.36516471
24.003,51725.19,0.07291267926,50.99866405,0.5099866405,50.99866405,26.79829563
24.13,51967.51,0.07088286558,49.486544,0.49486544,49.486544,26.00372108
24.257,52076.87,0.06996990013,48.84916141,0.4884916141,48.84916141,25.66879531
24.384,52315.04,0.06798821216,47.46565514,0.4746565514,47.46565514,24.94180352
24.511,52506.43,0.06640228299,46.35844604,0.4635844604,46.35844604,24.35999775
24.638,52642.59,0.06527752558,45.57320187,0.4557320187,45.57320187,23.94737507
24.765,52730.64,0.06455173141,45.06649203,0.4506649203,45.06649203,23.68111398
24.892,52955.08,0.06270714541,43.77870287,0.4377870287,43.77870287,23.00441871
25.019,53008.28,0.06227106131,43.47425277,0.4347425277,43.47425277,22.84443915
25.146,53217.02,0.06056422222,42.28263098,0.4228263098,42.28263098,22.218277
25.273,53426.18,0.05886065087,41.09329053,0.4109329053,41.09329053,21.59331364
25.4,53553.57,0.05782634671,40.37119588,0.4037119588,40.37119588,21.21387417
25.527,53687.71,0.05673989395,39.61269392,0.3961269392,39.61269392,20.81530373
25.654,53770.65,0.05606948745,39.14465273,0.3914465273,39.14465273,20.56936188
25.781,53968.77,0.05447225369,38.02955139,0.3802955139,38.02955139,19.98340897
25.908,54084.9,0.05353874282,37.3778251,0.373778251,37.3778251,19.640946
26.035,54179.66,0.05277849855,36.84706409,0.3684706409,36.84706409,19.36204673
26.162,54359.19,0.05134179714,35.84403766,0.3584403766,35.84403766,18.83498589
26.289,54509.85,0.05013978694,35.00485981,0.3500485981,35.00485981,18.39402265
26.416,54623.91,0.04923199,34.37108558,0.3437108558,34.37108558,18.06099296
26.543,54699.04,0.0486350696,33.95434837,0.3395434837,33.95434837,17.84200983
26.67,54769.88,0.04807298448,33.56193126,0.3356193126,33.56193126,17.6358062
26.797,54949.7,0.04664944816,32.56809597,0.3256809597,32.56809597,17.11357503
26.924,55055.7,0.04581248508,31.98377408,0.3198377408,31.98377408,16.80653109
27.051,55158.26,0.04500421623,31.41948493,0.3141948493,31.41948493,16.51001377
27.178,55373.86,0.04330997552,30.23665863,0.3023665863,30.23665863,15.88847339
27.305,55565.28,0.04181126673,29.19034203,0.2919034203,29.19034203,15.33866484
27.432,55526.66,0.04211322299,29.4011514,0.294011514,29.4011514,15.44943895
27.559,55554.11,0.04189857947,29.25129902,0.2925129902,29.25129902,15.37069594
