depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
17.399,39428.35,0.1908061708,164.0584878,1.640584878,164.0584878,71.49590419
17.526,39644.03,0.1884369778,161.159528,1.61159528,161.159528,70.23255137
17.653,39793.66,0.1868008889,159.1575992,1.591575992,159.1575992,69.36012035
17.78,39872.87,0.1859372771,158.1008782,1.581008782,158.1008782,68.89960642
17.907,40089.6,0.1835830508,155.2202319,1.552202319,155.2202319,67.64423451
18.034,40241.49,0.1819407211,153.2106667,1.532106667,153.2106667,66.76847563
18.161,40340.4,0.1808745737,151.9061218,1.519061218,151.9061218,66.19996121
18.288,40535.41,0.1787802038,149.3745288,1.493745288,149.3745288,65.0967051
18.415,40642.1,0.1776386338,148.0438434,1.480438434,148.0438434,64.51679875
18.542,40842.38,0.1755037322,145.5552684,1.455552684,145.5552684,63.43228969
18.669,41027.5,0.1735397197,143.2658926,1.432658926,143.2658926,62.43459065
18.796,41226.47,0.1714386238,140.8167237,1.408167237,140.8167237,61.36725454
18.923,41466.62,0.168916137,137.8763552,1.378763552,137.8763552,60.08585603
19.05,41644.41,0.1670580603,135.7104647,1.357104647,135.7104647,59.14197131
19.177,41877.63,0.1646326784,132.8832877,1.328832877,132.8832877,57.90990111
19.304,42045.13,0.1628990743,130.8624902,1.308624902,130.8624902,57.02924723
19.431,42125.49,0.1620698083,129.8958459,1.298958459,129.8958459,56.60798826
19.558,42388.48,0.1593669303,126.7452022,1.267452022,126.7452022,55.23495278
19.685,42554.01,0.1576742826,124.772146,1.24772146,124.772146,54.37510435
19.812,42705.18,0.1561342171,122.9769493,1.229769493,122.9769493,53.59276624
19.939,42912.31,0.1540328803,120.5274996,1.205274996,120.5274996,52.52530777
20.066,43157.58,0.1515576896,117.6422624,1.176422624,117.6422624,51.26793519
20.193,43329.28,0.1498333014,115.6322076,1.156322076,115.6322076,50.39196292
20.32,43525.47,0.1478713044,113.3451811,1.133451811,113.3451811,49.39528771
20.447,43712.62,0.1460079363,111.1731226,1.111731226,111.1731226,48.44871501
20.574,43971.58,0.1434427028,108.1829258,1.081829258,108.1829258,47.14560155
20.701,44166.83,0.1415185443,105.9400062,1.059400062,105.9400062,46.16814791
20.828,44351.55,0.1397059717,103.8271582,1.038271582,103.8271582,45.24737885
20.955,44550.24,0.1377647259,101.5643205,1.015643205,101.5643205,44.26124503
21.082,44745.28,0.1358675438,99.57164874,0.9957164874,99.57164874,43.3928482
21.209,44953.04,0.1338557072,98.01941111,0.9801941111,98.01941111,42.71639046
21.336,45132.94,0.1321211491,96.68110846,0.9668110846,96.68110846,42.13316457
21.463,45318.81,0.1303362764,95.30398543,0.9530398543,95.30398543,41.53302094
21.59,45578.77,0.1278521729,93.38736905,0.9338736905,93.38736905,40.69776869
21.717,45812.31,0.1256325831,91.67483895,0.9167483895,91.67483895,39.95145626
21.844,45985.46,0.1239942387,90.41077023,0.9041077023,90.41077023,39.40058116
21.971,46169.32,0.1222612957,89.0737137,0.890737137,89.0737137,38.81789833
22.098,46547.4,0.1187193463,86.34091366,0.8634091366,86.34091366,37.62695714
22.225,46778.58,0.1165677395,84.68083605,0.8468083605,84.68083605,36.90350326
22.352,46952.09,0.1149598449,83.44026086,0.8344026086,83.44026086,36.36286653
22.479,47108.81,0.1135126401,82.32366633,0.8232366633,82.32366633,35.87625997
22.606,47267.54,0.1120517735,81.19653102,0.8119653102,81.19653102,35.3850598
22.733,47569.54,0.1092858221,79.06245424,0.7906245424,79.06245424,34.45503934
22.86,47895.41,0.1063208786,76.77484458,0.7677484458,76.77484458,33.45811
22.987,48144.75,0.104065838,75.03496232,0.7503496232,75.03496232,32.69987763
23.114,48404.45,0.1017294841,73.23234259,0.7323234259,73.23234259,31.91430458
23.241,48558.48,0.1003496901,72.16775903,0.7216775903,72.16775903,31.45036415
23.368,48745.17,0.09868318453,70.88196247,0.7088196247,70.88196247,30.89002016
23.495,48969.23,0.09669149872,69.34527225,0.6934527225,69.34527225,30.22033792
23.622,49107.4,0.09546783293,68.40114982,0.6840114982,68.40114982,29.80889388
23.749,49305.49,0.09371949468,67.05221503,0.6705221503,67.05221503,29.22103455
23.876,49465.13,0.09231561909,65.96905127,0.6596905127,65.96905127,28.74899696
24.003,49771.26,0.08963613847,63.90169123,0.6390169123,63.90169123,27.84805135
24.13,50006.28,0.08759022558,62.32316197,0.6232316197,62.32316197,27.16013585
24.257,50294.41,0.08509505604,60.39800761,0.6039800761,60.39800761,26.32116279
24.384,50457.17,0.08369188536,59.31538774,0.5931538774,59.31538774,25.84936223
24.511,50630.67,0.0822010994,58.16516806,0.5816516806,58.16516806,25.34810199
24.638,50796.11,0.08078431888,57.07204748,0.5707204748,57.07204748,24.87172527
24.765,50823.44,0.08055071681,56.89181121,0.5689181121,56.89181121,24.79317917
24.892,51106.67,0.07813718969,55.02964826,0.5502964826,55.02964826,23.98165747
25.019,51215.96,0.07720945626,54.3138532,0.543138532,54.3138532,23.6697174
25.146,51420.9,0.07547510022,52.97570641,0.5297570641,52.97570641,23.08655943
25.273,51624.65,0.07375765359,51.65060613,0.5165060613,51.65060613,22.50908707
25.4,51837.88,0.07196754188,50.26944092,0.5026944092,50.26944092,21.90718188
25.527,51994.46,0.07065770177,49.32934693,0.4932934693,49.32934693,21.49749342
25.654,52203.82,0.06891249033,48.11093566,0.4811093566,48.11093566,20.96651561
25.781,52353.28,0.0676708779,47.2441097,0.472441097,47.2441097,20.588757
25.908,52521.16,0.06628046438,46.27339894,0.4627339894,46.27339894,20.1657259
26.035,52665.66,0.06508724279,45.44035682,0.4544035682,45.44035682,19.80269013
26.162,52862.29,0.06346880099,44.31044918,0.4431044918,44.31044918,19.31028178
26.289,53020.59,0.06217021773,43.4038493,0.434038493,43.4038493,18.91518989
26.416,53077.95,0.06170063287,43.07601081,0.4307601081,43.07601081,18.77231944
26.543,53201.87,0.06068787624,42.36895945,0.4236895945,42.36895945,18.46418985
26.67,53405.62,0.05902781261,41.20999373,0.4120999373,41.20999373,17.95911813
26.797,53607.04,0.05739294627,40.06861937,0.4006861937,40.06861937,17.46171264
26.924,53715.72,0.05651337253,39.45454904,0.3945454904,39.45454904,17.19410373
27.051,53921.24,0.05485490298,38.29669622,0.3829669622,38.29669622,16.68951701
27.178,54137.14,0.05311946509,37.0851083,0.370851083,37.0851083,16.16151279
27.305,54364.75,0.05129737864,35.81302709,0.3581302709,35.81302709,15.60714588
27.432,54490.05,0.05029756746,35.11501355,0.3511501355,35.11501355,15.30295493
27.559,54636.71,0.04913023386,34.30004501,0.3430004501,34.30004501,14.94779553
27.686,54729.61,0.04839242048,33.78494402,0.3378494402,33.78494402,14.72331698
27.813,54754.49,0.04819503571,33.64714076,0.3364714076,33.64714076,14.66326298
27.94,54844.52,0.04748153399,33.14901284,0.3314901284,33.14901284,14.44618122
28.067,55014.18,0.0461401298,32.21251772,0.3221251772,32.21251772,14.03806113
28.194,55072.57,0.04567943027,31.89088248,0.3189088248,31.89088248,13.89789403
28.321,55240.96,0.04435355656,30.96522989,0.3096522989,30.96522989,13.49449906
28.448,55292.14,0.04395137489,30.68444863,0.3068444863,30.68444863,13.37213593
28.575,55330.69,0.04364868777,30.47312902,0.3047312902,30.47312902,13.28004385
28.702,55467.28,0.04257790437,29.72556655,0.2972556655,29.72556655,12.9542597
28.829,55513.88,0.04221319159,29.47094401,0.2947094401,29.47094401,12.84329642
28.956,55588.92,0.04162653737,29.06137409,0.2906137409,29.06137409,12.66480781
29.083,55652.12,0.04113306097,28.71685583,0.2871685583,28.71685583,12.5146684
29.21,55708.72,0.04069159394,28.40864767,0.2840864767,28.40864767,12.38035275
29.337,55806.17,0.03993255614,27.87872895,0.2787872895,27.87872895,12.14941671
29.464,55927.71,0.03898773668,27.21910762,0.2721910762,27.21910762,11.86195689
29.591,55993.59,0.03847646092,26.86216282,0.2686216282,26.86216282,11.70640206
29.718,55960.87,0.03873031621,27.03939071,0.2703939071,27.03939071,11.78363712
29.845,56032.79,0.03817252636,26.64997232,0.2664997232,26.64997232,11.61393045
29.972,56115.35,0.03753309785,26.20355827,0.2620355827,26.20355827,11.41938534
30.099,56071.71,0.03787097304,26.43944427,0.2643944427,26.43944427,11.52218333
30.226,56155.3,0.03722402215,25.9877785,0.259877785,25.9877785,11.32534955
30.353,56151.74,0.03725155539,26.0070007,0.260070007,26.0070007,11.33372649
30.48,56236.95,0.0365930151,25.54724385,0.2554724385,25.54724385,11.13336666
30.607,56264.39,0.03638115912,25.39933758,0.2539933758,25.39933758,11.06890982
30.734,56229.78,0.03664838955,25.58590327,0.2558590327,25.58590327,11.15021425
30.861,56301.73,0.03609303412,25.19818445,0.2519818445,25.19818445,10.98124824
30.988,56341.52,0.03578621453,24.98397977,0.2498397977,24.98397977,10.88789887
31.115,56308.55,0.0360404299,25.16145905,0.2516145905,25.16145905,10.96524349
31.242,56346.4,0.0357485999,24.9577193,0.249577193,24.9577193,10.87645468
31.369,56456.94,0.03489743845,24.36348487,0.2436348487,24.36348487,10.61749016
31.496,56404.54,0.03530071213,24.64502853,0.2464502853,24.64502853,10.74018554
31.623,56351.96,0.03570574786,24.92780234,0.2492780234,24.92780234,10.86341701
31.75,56503.38,0.03454034603,24.11418246,0.2411418246,24.11418246,10.50884536
31.877,56497.35,0.0345866961,24.14654154,0.2414654154,24.14654154,10.52294729
32.004,56567.53,0.03404755803,23.7701448,0.237701448,23.7701448,10.35891539
32.131,56628.74,0.03357787528,23.44223796,0.2344223796,23.44223796,10.21601516
32.258,56561.92,0.03409063067,23.80021576,0.2380021576,23.80021576,10.37202017
32.385,56642.92,0.0334691403,23.36632514,0.2336632514,23.36632514,10.18293272
32.512,56723.51,0.03285167712,22.93524608,0.2293524608,22.93524608,9.995070527
32.639,56705.6,0.03298882382,23.03099442,0.2303099442,23.03099442,10.03679719
32.766,56728.72,0.03281178942,22.90739867,0.2290739867,22.90739867,9.982934758
32.893,56737.21,0.03274679792,22.86202516,0.2286202516,22.86202516,9.963161199
33.02,56724.82,0.03284164743,22.9282439,0.229282439,22.9282439,9.99201901
33.147,56804.34,0.03223325566,22.50349801,0.2250349801,22.50349801,9.806916784
33.274,56802.05,0.03225076409,22.51572144,0.2251572144,22.51572144,9.812243693
33.401,56888.2,0.03159258141,22.05621425,0.2205621425,22.05621425,9.611992659
33.528,56790.8,0.03233678734,22.57577817,0.2257577817,22.57577817,9.83841613
33.655,56952.46,0.03110228618,21.71391691,0.2171391691,21.71391691,9.462821115
33.782,56938.78,0.03120661639,21.78675456,0.2178675456,21.78675456,9.494563415
33.909,57041.57,0.03042330344,21.23988826,0.2123988826,21.23988826,9.256241697
34.036,56970.82,0.03096230343,21.6161886,0.216161886,21.6161886,9.420231587
34.163,56877.98,0.03167060969,22.11068933,0.2211068933,22.11068933,9.635732639
34.29,56846.41,0.03191173082,22.27902694,0.2227902694,22.27902694,9.709093362
34.417,56876.87,0.03167908523,22.11660649,0.2211660649,22.11660649,9.638311309
34.544,56987.57,0.03083463521,21.52705762,0.2152705762,21.52705762,9.381388733
34.671,56957.42,0.03106446504,21.68751226,0.2168751226,21.68751226,9.451314094
34.798,56918.07,0.03136460844,21.89705598,0.2189705598,21.89705598,9.542632247
34.925,57013.83,0.03063455743,21.38737425,0.2138737425,21.38737425,9.320515388
35.052,57059.19,0.03028917166,21.14624478,0.2114624478,21.14624478,9.215432317
35.179,57002.12,0.0307237658,21.44965466,0.2144965466,21.44965466,9.347656892
35.306,57090.09,0.03005404622,20.98209304,0.2098209304,20.98209304,9.143895776
35.433,56978.78,0.03090162776,21.57382817,0.2157382817,21.57382817,9.401771111
35.56,57080.21,0.03012921165,21.03456944,0.2103456944,21.03456944,9.166764737
35.687,57031.69,0.03049853281,21.29240929,0.2129240929,21.29240929,9.279130112
35.814,57110.62,0.02989789893,20.87307954,0.2087307954,20.87307954,9.096388211
35.941,57206.67,0.02916810566,20.36357774,0.2036357774,20.36357774,8.874349767
36.068,57195.43,0.02925344447,20.42315664,0.2042315664,20.42315664,8.900313966
36.195,57166.59,0.02947248665,20.57607993,0.2057607993,20.57607993,8.966957202
36.322,57169.31,0.02945182331,20.56165391,0.2056165391,20.56165391,8.960670412
36.449,56881.35,0.03164487866,22.09272533,0.2209272533,22.09272533,9.627904014
36.576,57297.49,0.0284791764,19.88260497,0.1988260497,19.88260497,8.664744135
36.703,57266.09,0.0287172424,20.04880965,0.2004880965,20.04880965,8.737175339
36.83,57291.7,0.02852306474,19.91324542,0.1991324542,19.91324542,8.678097095
36.957,57228.48,0.02900256276,20.24800474,0.2024800474,20.24800474,8.823983606
37.084,57300.59,0.02845568014,19.86620117,0.1986620117,19.86620117,8.657595436
37.211,57344.83,0.02812050428,19.6321997,0.196321997,19.6321997,8.555618713
37.338,57358.31,0.02801842704,19.56093495,0.1956093495,19.56093495,8.524561877
37.465,57456.68,0.02727424619,19.04138854,0.1904138854,19.04138854,8.298146035
37.592,57405.55,0.02766089162,19.31132325,0.1931132325,19.31132325,8.415782293
